Leadership Experience,Last Position Duration,Number of Work Experiences,Programming Languages,GPA,Location,Hired
TRUE,1-2,1,2-Jan,2.0-2.9,local,FALSE
FALSE,1-2,1,4-Mar,3.0-3.4,international,FALSE
FALSE,3+,2,0,3.0-3.4,nonlocal,FALSE
TRUE,<1,1,4-Mar,3.5-4.0,local,FALSE
TRUE,1-2,2,2-Jan,3.5-4.0,local,TRUE
FALSE,<1,1,5+,3.0-3.4,international,FALSE
FALSE,1-2,2,5+,3.5-4.0,local,TRUE
FALSE,2-3,1,4-Mar,3.5-4.0,nonlocal,FALSE
FALSE,<1,1,4-Mar,3.0-3.4,nonlocal,FALSE
TRUE,3+,1,5+,3.5-4.0,local,FALSE
FALSE,1-2,1,5+,3.5-4.0,international,FALSE
TRUE,2-3,1,4-Mar,3.5-4.0,nonlocal,FALSE
TRUE,1-2,1,4-Mar,3.0-3.4,local,TRUE
TRUE,2-3,2,5+,3.0-3.4,international,FALSE
TRUE,1-2,3+,5+,3.5-4.0,local,TRUE
TRUE,3+,3+,2-Jan,3.5-4.0,international,FALSE
TRUE,<1,1,2-Jan,3.0-3.4,local,TRUE
FALSE,<1,2,5+,3.5-4.0,local,FALSE
FALSE,3+,1,5+,3.0-3.4,nonlocal,FALSE
FALSE,1-2,1,4-Mar,2.0-2.9,nonlocal,FALSE
FALSE,3+,1,5+,3.5-4.0,nonlocal,FALSE
FALSE,1-2,1,4-Mar,3.0-3.4,local,TRUE
TRUE,2-3,1,5+,3.5-4.0,nonlocal,TRUE
FALSE,<1,1,2-Jan,3.0-3.4,nonlocal,FALSE
TRUE,3+,1,5+,3.0-3.4,nonlocal,TRUE
TRUE,2-3,1,5+,3.0-3.4,local,FALSE
TRUE,1-2,1,4-Mar,2.0-2.9,local,TRUE
FALSE,3+,1,4-Mar,3.5-4.0,international,FALSE
FALSE,<1,1,4-Mar,3.0-3.4,nonlocal,FALSE
TRUE,<1,1,5+,3.5-4.0,local,FALSE
FALSE,<1,1,5+,3.0-3.4,local,TRUE
TRUE,3+,1,5+,3.5-4.0,international,TRUE
TRUE,1-2,1,5+,3.5-4.0,local,TRUE
TRUE,<1,2,4-Mar,3.5-4.0,local,FALSE
TRUE,<1,1,4-Mar,3.0-3.4,nonlocal,FALSE
TRUE,2-3,3+,4-Mar,3.5-4.0,local,TRUE
FALSE,2-3,1,5+,3.5-4.0,international,TRUE
TRUE,3+,1,4-Mar,3.5-4.0,nonlocal,FALSE
FALSE,1-2,1,4-Mar,2.0-2.9,local,TRUE
TRUE,2-3,1,5+,3.0-3.4,international,FALSE
FALSE,3+,2,5+,3.5-4.0,local,TRUE
TRUE,2-3,2,5+,3.0-3.4,international,FALSE
TRUE,<1,1,2-Jan,3.5-4.0,local,TRUE
FALSE,<1,2,5+,2.0-2.9,local,FALSE
TRUE,1-2,1,5+,3.5-4.0,nonlocal,FALSE
FALSE,1-2,2,4-Mar,3.5-4.0,nonlocal,FALSE
TRUE,<1,1,5+,3.5-4.0,nonlocal,FALSE
FALSE,1-2,3+,4-Mar,3.0-3.4,local,TRUE
TRUE,2-3,1,5+,3.0-3.4,local,FALSE
FALSE,1-2,1,2-Jan,3.0-3.4,nonlocal,FALSE
TRUE,1-2,2,5+,2.0-2.9,nonlocal,TRUE
FALSE,2-3,3+,5+,3.5-4.0,local,FALSE
